"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55","DYCOL56","DYCOL57","DYCOL58","DYCOL59"
1000037062,1,NA,"06","200",3,"01",NA,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,"01","02","03","04","05","06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000025204,4,NA,"03","056",3,"01",NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"01","02","03",NA,NA,"06","07",NA,NA,NA,NA,NA,13,"04",14,24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000025198,1,NA,"03","070",3,"01",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03",NA,NA,"06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000025200,1,NA,"03","050",3,"01",NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000025193,1,NA,"06","200",3,"01",NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03","04","05","06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1000005098,6,NA,"04","080",3,"01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,13,"04",14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1000017112,4,NA,"04","090",3,"01",1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000017102,4,NA,"04","103",3,"01",1,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,13,"04",14,24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000097167,1,NA,"03","120",1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,NA,"04",14,24,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
1000097171,3,NA,"04","120",1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03",NA,NA,"06","07","08",NA,NA,NA,NA,NA,"04",14,24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
